,eng,part,mean
111,accolades,noun,An expression of approval; praise.
112,accommodate,verb,"To render fit, suitable, or correspondent; to adapt."
113,accommodating,verb,"To render fit, suitable, or correspondent; to adapt."
114,accommodation,noun,"(usually a mass noun) Lodging in a dwelling or similar living quarters afforded to travellers in hotels or on cruise ships, or prisoners, etc."
115,accommodations,noun,"(usually a mass noun) Lodging in a dwelling or similar living quarters afforded to travellers in hotels or on cruise ships, or prisoners, etc."
116,accompanied,adjective,Having accompaniment; being part of a group of at least two.
117,accompany,verb,To go with or attend as a companion or associate; to keep company with; to go along with.
118,accompanying,verb,To go with or attend as a companion or associate; to keep company with; to go along with.
119,accomplice,noun,"An associate in the commission of a crime; a participator in an offense, whether a principal or an accessory."
120,accomplices,noun,"An associate in the commission of a crime; a participator in an offense, whether a principal or an accessory."
121,accomplish,verb,To finish successfully.
122,accomplished,verb,To finish successfully.
123,accomplishing,verb,To finish successfully.
124,accomplishment,noun,The act of accomplishing; completion; fulfilment.
125,accomplishments,noun,The act of accomplishing; completion; fulfilment.
126,accord,noun,"Agreement or concurrence of opinion, will, or action."
127,accordance,noun,Agreement; harmony; conformity; compliance.
128,accorded,verb,To make to agree or correspond; to suit one thing to another; to adjust.
129,according,verb,To make to agree or correspond; to suit one thing to another; to adjust.
130,accordingly,adverb,(manner) Agreeably; correspondingly; suitably
131,account,noun,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review."
132,accountability,noun,The state of being accountable; liability to be called on to render an account; accountableness; responsible for; answerable for.
133,accountable,adjective,"Obliged, when called upon, to answer (for one’s deeds); answerable."
134,accountant,noun,One who renders account; one accountable.
135,accountants,noun,One who renders account; one accountable.
136,accounted,verb,To provide explanation.
137,accounting,verb,To provide explanation.
138,accounts,noun,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review."
139,accoutrements,noun,The act of accoutering.
140,accumulate,verb,To heap up in a mass; to pile up; to collect or bring together (either literally or figuratively)
141,accumulated,verb,To heap up in a mass; to pile up; to collect or bring together (either literally or figuratively)
142,accumulation,noun,"The act of amassing or gathering, as into a pile."
143,accuracy,noun,"The state of being accurate; being free from mistakes, this exemption arising from carefulness; exactness; correctness"
144,accurate,adjective,Telling the truth or giving a true result; exact; not defective or faulty
145,accurately,adverb,In an accurate manner; exactly; precisely; without error or defect.
146,accursed,verb,To devote to destruction; to imprecate misery or evil upon; to curse; to execrate; to anathematize.
147,accusation,noun,The act of accusing.
148,accusations,noun,The act of accusing.
149,accuse,noun,Accusation.
150,accused,verb,"To find fault with, blame, censure"
151,accuser,noun,One who accuses; one who brings a charge of crime or fault.
152,accusers,noun,One who accuses; one who brings a charge of crime or fault.
153,accuses,verb,"To find fault with, blame, censure"
154,accusing,verb,"To find fault with, blame, censure"
155,accustomed,adjective,(of a person) Familiar with something through repeated experience; adapted to existing conditions.
156,ace,noun,A single point or spot on a playing card or die.
157,aced,verb,"(US) To pass (a test, interviews etc.) perfectly."
158,aces,noun,A single point or spot on a playing card or die.
159,acetate,noun,Any salt or ester of acetic acid.
160,ache,noun,"Continued dull pain, as distinguished from sudden twinges, or spasmodic pain."
161,ached,verb,"To suffer pain; to be the source of, or be in, pain, especially continued dull pain; to be distressed."
162,aches,noun,"Continued dull pain, as distinguished from sudden twinges, or spasmodic pain."
163,achieve,verb,"To succeed in something, now especially in academic performance."
164,achieved,verb,"To succeed in something, now especially in academic performance."
165,achievement,noun,The act of achieving or performing; a successful performance; accomplishment
166,achieving,verb,"To succeed in something, now especially in academic performance."
167,aching,verb,"To suffer pain; to be the source of, or be in, pain, especially continued dull pain; to be distressed."
168,achingly,adverb,In an aching manner; sorely.
169,acid,noun,A sour substance.
170,acids,noun,A sour substance.
171,acing,verb,"(US) To pass (a test, interviews etc.) perfectly."
172,acknowledge,verb,To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in
173,acknowledged,verb,To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in
174,acknowledgement,noun,The act of acknowledging
175,acknowledges,verb,To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in
176,acme,noun,The top or highest point; pinnacle; culmination.
177,acne,noun,"A skin condition, usually of the face, that is common in adolescents. It is characterised by red pimples, and is caused by the inflammation of sebaceous glands through bacterial infection."
178,acorn,noun,"The fruit of the oak, being an oval nut growing in a woody cup or cupule."
179,acoustic,noun,A medicine or other agent to assist hearing.
180,acoustics,noun,The physical quality of a space for conveying sound.
181,acquaint,verb,(followed by with) To furnish or give experimental knowledge of; to make (one) to know; to make familiar.
182,acquaintance,noun,"A state of being acquainted with a person; originally indicating friendship, intimacy, but now suggesting a slight knowledge less deep than that of friendship; acquaintanceship."
183,acquaintances,noun,"A state of being acquainted with a person; originally indicating friendship, intimacy, but now suggesting a slight knowledge less deep than that of friendship; acquaintanceship."
184,acquainted,verb,(followed by with) To furnish or give experimental knowledge of; to make (one) to know; to make familiar.
185,acquire,verb,To get.
186,acquired,verb,To get.
187,acquisition,noun,The act or process of acquiring.
188,acquisitions,noun,The act or process of acquiring.
189,acquitted,verb,To declare or find innocent or not guilty.
190,acre,noun,"An English unit of land area (symbol: a. or ac.) originally denoting a day's plowing for a yoke of oxen, now standardized as 4,840 square yards or 4,046.86 square meters."
191,acres,noun,"An English unit of land area (symbol: a. or ac.) originally denoting a day's plowing for a yoke of oxen, now standardized as 4,840 square yards or 4,046.86 square meters."
192,acrobat,noun,"An athlete who performs acts requiring skill, agility and coordination."
193,across,noun,"(crosswords, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue."
194,act,noun,"Something done, a deed."
195,acted,verb,To do something.
196,actin,noun,A globular structural protein that polymerizes in a helical fashion to form an actin filament (or microfilament).
197,acting,verb,To do something.
198,action,noun,Something done so as to accomplish a purpose.
199,actionable,adjective,That can be acted on; that can be used as the basis for taking action.
200,actions,noun,Something done so as to accomplish a purpose.
201,activate,verb,To encourage development or induce increased activity; to stimulate.
202,activated,verb,To encourage development or induce increased activity; to stimulate.
203,activating,verb,To encourage development or induce increased activity; to stimulate.
204,activation,noun,Making active and effective; bringing into a state of activity.
205,activators,noun,"One who, or that which, activates."
206,active,noun,A person or thing that is acting or capable of acting.
207,actively,adverb,In an active manner.
208,activists,noun,"One who is politically active in the role of a citizen; especially, one who campaigns for change."
209,activities,noun,The state or quality of being active; activeness.
210,activity,noun,The state or quality of being active; activeness.
211,actor,noun,"A person who performs, plays a part in a theatrical play or film."
212,actors,noun,"A person who performs, plays a part in a theatrical play or film."
213,actress,noun,A female who performs on the stage or in films.
214,actresses,noun,A female who performs on the stage or in films.
215,acts,noun,"Something done, a deed."
216,actual,noun,"An actual, real one; notably:"
217,actuality,noun,The state of existing; existence.
218,actually,adverb,(modal) In act or in fact; really; in truth; positively.
219,actuarial,adjective,Of or pertaining to actuaries.
220,acupuncture,noun,"The insertion of needles into the (living) tissue of the body, especially for purposes of pain relief."
221,acupuncturist,noun,A healthcare professional who is qualified or professionally engaged in the practice of acupuncture.
222,acute,noun,"A person who has the acute form of a disorder, such as schizophrenia."
223,adage,noun,An old saying which has obtained credit by long use
224,adamant,noun,An imaginary rock or mineral of impenetrable hardness; a name given to the diamond and other substances of extreme hardness.
225,adapt,verb,To make suitable; to make to correspond; to fit or suit
226,adaptable,adjective,Capable of adapting or of being adapted.
227,adapted,verb,To make suitable; to make to correspond; to fit or suit
228,adapting,verb,To make suitable; to make to correspond; to fit or suit
229,add,noun,An act or instance of adding.
230,added,verb,"To join or unite (e.g. one thing to another, or as several particulars) so as to increase the number, augment the quantity or enlarge the magnitude, or so as to form into one aggregate."
231,addendum,noun,Something to be added; especially text added as an appendix or supplement to a document.
232,addict,noun,"A person who is addicted, especially to a harmful drug"
233,addicted,verb,To deliver (someone or something) following a judicial decision.
234,addiction,noun,"A state that is characterized by compulsive drug use or compulsive engagement in rewarding behavior, despite negative consequences."
235,addictive,noun,A drug that causes an addiction.
236,addicts,noun,"A person who is addicted, especially to a harmful drug"
237,adding,verb,"To join or unite (e.g. one thing to another, or as several particulars) so as to increase the number, augment the quantity or enlarge the magnitude, or so as to form into one aggregate."
238,addition,noun,The act of adding anything.
239,additional,noun,Something added.
240,additions,noun,The act of adding anything.
241,additives,noun,A substance added to another substance or product to produce specific properties in the combined substance.
242,addled,verb,"(provincial) To earn, earn by labor; earn money or one's living."
243,address,noun,Direction.
244,addressed,verb,To prepare oneself.
245,addresses,noun,Direction.
246,addressing,verb,To prepare oneself.
247,adds,noun,An act or instance of adding.
248,adenoids,noun,"One of two folds of lymphatic tissue covered by ciliated epithelium. They are found in the roof and posterior wall of the nasopharynx at the back of the throat behind the uvula. They may obstruct normal breathing and make speech difficult when swollen, a condition often called adenitis."
249,adept,noun,One fully skilled or well versed in anything; a proficient
250,adequate,verb,To equalize; to make adequate.
251,adequately,adverb,In an adequate manner.
252,adhere,verb,"To stick fast or cleave, as a glutinous substance does; to become joined or united."
253,adherence,noun,A close physical union of two objects.
254,adhesive,noun,"A substance, such as glue, that provides or promotes adhesion"
255,adjacent,noun,"Something that lies next to something else, especially the side of a right triangle that is neither the hypotenuse nor the opposite."
256,adjective,noun,(grammar) A word that modifies a noun or describes a noun’s referent.
257,adjectives,noun,(grammar) A word that modifies a noun or describes a noun’s referent.
258,adjourn,verb,To postpone.
259,adjourned,verb,To postpone.
260,adjust,verb,To modify.
261,adjustable,noun,Anything that can be adjusted.
262,adjusted,verb,To modify.
263,adjusting,verb,To modify.
264,adjustment,noun,The action of adjusting something
265,adjustments,noun,The action of adjusting something
266,adjutant,noun,A lower-ranking officer who assists a higher-ranking officer with administrative affairs.
267,administer,verb,"To cause to ingest (a drug), either by openly offering or through deceit."
268,administered,verb,"To cause to ingest (a drug), either by openly offering or through deceit."
269,administering,verb,"To cause to ingest (a drug), either by openly offering or through deceit."
270,administration,noun,"The act of administering; government of public affairs; the service rendered, or duties assumed, in conducting affairs; the conducting of any office or employment; direction."
271,administrative,adjective,Of or relating to administering or administration.
272,administrator,noun,"One who administers affairs; one who directs, manages, executes, or dispenses, whether in civil, judicial, political, or ecclesiastical affairs; a manager"
273,administrators,noun,"One who administers affairs; one who directs, manages, executes, or dispenses, whether in civil, judicial, political, or ecclesiastical affairs; a manager"
274,admirable,adjective,Deserving of the highest esteem or admiration.
275,admirably,adverb,In a way worthy of admiration.
276,admiral,noun,A naval officer of the highest rank; the commander of a country's naval forces.
277,admiration,noun,A positive emotion including wonder and approbation; the regarding of another as being wonderful
278,admire,verb,To be amazed at; to view with surprise; to marvel at.
279,admired,verb,To be amazed at; to view with surprise; to marvel at.
280,admirer,noun,One who admires.
281,admirers,noun,One who admires.
282,admires,verb,To be amazed at; to view with surprise; to marvel at.
283,admiring,verb,To be amazed at; to view with surprise; to marvel at.
284,admission,noun,The act or practice of admitting.
285,admissions,noun,The act or practice of admitting.
286,admit,verb,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
287,admits,verb,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
288,admittance,noun,The act of admitting.
289,admitted,verb,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
290,admittedly,adverb,As is acknowledged to be true; by general admission; confessedly.
291,admitting,verb,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
292,admonish,verb,"To warn or notify of a fault; to reprove gently or kindly, but seriously; to exhort."
293,admonished,verb,"To warn or notify of a fault; to reprove gently or kindly, but seriously; to exhort."
294,admonition,noun,Gentle or friendly reproof; counseling against fault or oversight; warning.
295,ado,noun,"Trouble; troublesome business; fuss, commotion"
296,adobe,noun,An unburnt brick dried in the sun.
297,adolescence,noun,The transitional period of physical and psychological development between childhood and maturity.
298,adolescent,noun,A person who is in adolescence; someone who has reached puberty but is not yet an adult.
299,adolescents,noun,A person who is in adolescence; someone who has reached puberty but is not yet an adult.
300,adopt,verb,"To take by choice into relationship (a child, heir, friend, citizen, etc.)"
301,adopted,verb,"To take by choice into relationship (a child, heir, friend, citizen, etc.)"
302,adopting,verb,"To take by choice into relationship (a child, heir, friend, citizen, etc.)"
303,adoption,noun,The act of adopting.
304,adoptive,adjective,"Related through adoption; more generally, relating to adoption."
305,adorable,adjective,Befitting of being adored; cute or loveable.
306,adoration,noun,An act of religious worship.
307,adore,verb,To worship.
308,adored,verb,To worship.
309,adores,verb,To worship.
310,adoring,verb,To worship.
311,adrenaline,noun,"Epinephrine, the hormone and neurotransmitter."
312,adrenals,noun,An adrenal gland.
313,ads,noun,Advertisement.
314,adult,noun,A fully grown human or animal.
315,adultery,noun,Sexual intercourse by a married person with someone other than their spouse.
316,adults,noun,A fully grown human or animal.
317,advance,noun,A forward move; improvement or progression.
318,advanced,verb,To promote or advantage.
319,advancement,noun,"The act of advancing, ; promotion to a higher place or dignity"
320,advancements,noun,"The act of advancing, ; promotion to a higher place or dignity"
321,advances,noun,A forward move; improvement or progression.
322,advancing,verb,To promote or advantage.
323,advantage,noun,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end."
324,advantageous,adjective,"Being of advantage, beneficial."
325,advantages,noun,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end."
326,advent,noun,Arrival; onset; a time when something first comes or appears
327,adventure,noun,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat."
328,adventurer,noun,One who enjoys adventures.
329,adventures,noun,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat."
330,adventurous,adjective,(of a person) Inclined to adventure; willing to incur risks; prone to embark in hazardous enterprise; rashly daring.
331,adversaries,noun,An opponent or rival.
332,adversary,noun,An opponent or rival.
333,adverse,adjective,Unfavorable; antagonistic in purpose or effect; hostile; actively opposing one's interests or wishes; contrary to one's welfare; acting against; working in an opposing direction.
334,adversely,adverb,In an adverse manner.
335,adversity,noun,The state of adverse conditions; state of misfortune or calamity.
336,advert,noun,"An advertisement, an ad."
337,advertise,verb,To give (especially public) notice of (something); to announce publicly.
338,advertised,verb,To give (especially public) notice of (something); to announce publicly.
339,advertisement,noun,"A commercial solicitation designed to sell some commodity, service or similar."
340,advertisers,noun,One who advertises.
341,advertises,verb,To give (especially public) notice of (something); to announce publicly.
342,advertising,verb,To give (especially public) notice of (something); to announce publicly.
343,advice,noun,An opinion offered in an effort to be helpful.
344,advisable,adjective,(of a course of action) Worthy of being recommended; desirable.
345,advise,verb,"To give advice to; to offer an opinion to, as worthy or expedient to be followed."
346,advised,verb,"To give advice to; to offer an opinion to, as worthy or expedient to be followed."
347,adviser,noun,One who advises
348,advises,verb,"To give advice to; to offer an opinion to, as worthy or expedient to be followed."
349,advising,verb,"To give advice to; to offer an opinion to, as worthy or expedient to be followed."
350,advisor,noun,One who offers advice.
351,advocacy,noun,The profession of an advocate
352,advocate,noun,Someone whose job is to speak for someone's case in a court of law; a counsel.
353,advocating,verb,"To plead in favour of; to defend by argument, before a tribunal or the public; to support, vindicate, or recommend publicly."
354,aerial,noun,"A rod, wire, or other structure for receiving or transmitting radio, television signals etc."
355,aerobic,adjective,Living or occurring only in the presence of oxygen e.g. aerobic bacteria.
356,aerobics,noun,"A form of exercise, designed to enhance one's cardiovascular fitness, normally performed to music."
357,aerodynamics,noun,"The science of the dynamics of bodies moving relative to gases, especially the interaction of moving objects with the atmosphere"
358,aeroplane,noun,A powered heavier-than-air aircraft with fixed wings.
359,aerosol,noun,A mixture of fine solid particles or liquid droplets suspended in a gaseous medium.
360,aerospace,noun,The atmosphere of the Earth and the region of space around it.
361,aesthetic,noun,The study of art or beauty.
362,aesthetics,noun,The study or philosophy of beauty.
363,afar,adverb,"At, to, or from a great distance; far away."
364,affair,noun,"(often in the plural) Something which is done or is to be done; business of any kind, commercial, professional, or public."
365,affairs,noun,"(often in the plural) Something which is done or is to be done; business of any kind, commercial, professional, or public."
366,affect,verb,To influence or alter.
367,affected,verb,To influence or alter.
368,affecting,verb,To influence or alter.
369,affection,noun,The act of affecting or acting upon.
370,affectionate,adjective,(of a person) Having affection or warm regard; loving; fond.
371,affectionately,adverb,In an affectionate manner.
372,affections,noun,The act of affecting or acting upon.
373,affects,verb,To influence or alter.
374,affidavit,noun,A signed document wherein an affiant makes a sworn statement.
375,affidavits,noun,A signed document wherein an affiant makes a sworn statement.
376,affiliated,verb,To adopt; to receive into a family as one's offspring
377,affiliates,noun,"Someone or something, especially, a television station, that is associated with a larger, related organization, such as a television network; a member of a group of associated things."
378,affiliation,noun,The relationship resulting from affiliating one thing with another.
379,affinity,noun,A natural attraction or feeling of kinship to a person or thing.
380,affirm,verb,"To agree, verify or concur; to answer positively."
381,affirmative,noun,Yes; an answer that shows agreement or acceptance.
382,affirming,verb,"To agree, verify or concur; to answer positively."
383,afflicted,verb,"To cause (someone) pain, suffering or distress."
384,afford,verb,"To incur, stand, or bear without serious detriment, as an act which might under other circumstances be injurious;—with an auxiliary, as can, could, might, etc.; to be able or rich enough."
385,afforded,verb,"To incur, stand, or bear without serious detriment, as an act which might under other circumstances be injurious;—with an auxiliary, as can, could, might, etc.; to be able or rich enough."
386,affront,noun,"An open or intentional offense, slight, or insult."
387,afloat,adverb,Floating
388,afoot,adjective,"(predicative) That is on foot, in motion, in action, in progress."
389,aforementioned,noun,The one or ones mentioned previously.
390,afraid,adjective,"(usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear."
391,aft,noun,The stern portion of a vessel.
392,after,adjective,"Later; second (of two); next, following, subsequent"
393,afterglow,noun,The glow seen in the sky after sunset.
394,afterlife,noun,Life after death.
395,aftermath,noun,A second mowing; the grass which grows after the first crop of hay in the same season.
396,afternoon,noun,"The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm."
397,afternoons,noun,"The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm."
398,afterthought,noun,"A reflection after an act; a later or subsequent thought, action, or expedient."
399,afterward,adverb,(temporal location) At a later or succeeding time.
400,afterwards,adverb,(temporal location) At a later or succeeding time.
401,aga,noun,An honorific for high officials used in Turkey and certain Muslim countries.
402,again,adverb,Another time; once more.
403,against,preposition,In a contrary direction to.
404,age,noun,"The whole duration of a being, whether animal, plant, or other kind, being alive."
405,aged,verb,To cause to grow old; to impart the characteristics of age to.
406,ageing,verb,To cause to grow old; to impart the characteristics of age to.
407,ageless,adjective,(relative to past) Having existed for so great a period of time that its longevity cannot be expressed.
408,agencies,noun,"The capacity, condition, or state of acting or of exerting power."
409,agency,noun,"The capacity, condition, or state of acting or of exerting power."
410,agenda,noun,A temporally organized plan for matters to be attended to.
411,agendas,noun,A temporally organized plan for matters to be attended to.
412,agent,noun,"One who exerts power, or has the power to act"
413,agents,noun,"One who exerts power, or has the power to act"
414,ages,noun,"The whole duration of a being, whether animal, plant, or other kind, being alive."
415,aggravate,verb,To make (an offence) worse or more severe; to increase in offensiveness or heinousness.
416,aggravated,verb,To make (an offence) worse or more severe; to increase in offensiveness or heinousness.
417,aggravating,verb,To make (an offence) worse or more severe; to increase in offensiveness or heinousness.
418,aggravation,noun,"The act of aggravating, or making worse; used of evils, natural or moral; the act of increasing in severity or heinousness; something additional to a crime or wrong and enhancing its guilt or injurious consequences."
419,aggression,noun,The act of initiating hostilities or invasion.
420,aggressive,adjective,Characterized by aggression; unjustly attacking; prone to behave in a way that involves attacking or arguing.
421,aggressively,adverb,In an aggressive manner.
422,aggressor,noun,The person or country that first attacks or makes an aggression; that begins hostility or a quarrel; an assailant.
423,agile,adjective,Having the faculty of quick motion in the limbs; apt or ready to move
